generation,individual0,individual1,individual2,individual3,individual4,individual5,individual6,individual7,individual8,individual9,individual10,individual11,individual12,individual13,individual14,individual15,individual16,individual17,individual18,individual19,individual20,individual21,individual22,individual23,individual24,individual25,individual26,individual27,individual28,individual29,individual30,individual31,individual32,individual33,individual34,individual35,individual36,individual37,individual38,individual39,individual40,individual41,individual42,individual43,individual44,individual45,individual46,individual47,individual48,individual49,individual50,individual51,individual52,individual53,individual54,individual55,individual56,individual57,individual58,individual59,individual60,individual61,individual62,individual63
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.3125,0.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.375,0.0,0.0,0.0,0.375,0.3125,0.0,0.625,0.0,0.0,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.3125,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.4375,0.0,0.6875
4,0.3125,0.0,0.3125,0.0,0.3125,0.0,0.3125,0.0,0.0,0.375,0.0,0.4375,0.375,0.0,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.6875,0.375,0.375,0.375,0.0,0.0,0.0,0.5625,0.0,0.4375,0.0,0.0,0.625,0.0,0.375,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.6875,0.0,0.6875,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.375,0.375,0.0
5,0.0,0.375,0.375,0.375,0.375,0.5625,0.375,0.375,0.625,0.3125,0.375,0.3125,0.6875,0.375,0.4375,0.375,0.375,0.375,0.0,0.375,0.3125,0.625,0.3125,0.0,0.375,0.6875,0.3125,0.375,0.4375,0.375,0.0,0.3125,0.375,0.0,0.375,0.0,0.375,0.625,0.6875,0.375,0.6875,0.375,0.0,0.4375,0.0,0.5625,0.375,0.375,0.375,0.0,0.0,0.0,0.375,0.4375,0.4375,0.375,0.25,0.0,0.0,0.4375,0.375,0.375,0.0,0.0
6,0.4375,0.375,0.0,0.375,0.375,0.375,0.375,0.4375,0.375,0.6875,0.375,0.375,0.375,0.4375,0.625,0.375,0.375,0.6875,0.375,0.6875,0.4375,0.4375,0.375,0.4375,0.5625,0.6875,0.375,0.0,0.375,0.375,0.0,0.375,0.4375,0.375,0.6875,0.375,0.4375,0.0,0.375,0.4375,0.375,0.375,0.375,0.375,0.6875,0.4375,0.375,0.375,0.625,0.375,0.0,0.4375,0.4375,0.375,0.3125,0.375,0.375,0.6875,0.375,0.0,0.375,0.0,0.0,0.375
7,0.375,0.6875,0.0,0.4375,0.0,0.375,0.6875,0.375,0.6875,0.0,0.0,0.375,0.6875,0.625,0.0,0.375,0.6875,0.5625,0.6875,0.375,0.5625,0.375,0.375,0.6875,0.4375,0.0,0.0,0.375,0.375,0.375,0.0,0.375,0.4375,0.375,0.625,0.375,0.4375,0.6875,0.0,0.5625,0.375,0.6875,0.375,0.25,0.4375,0.4375,0.0,0.375,0.0,0.375,0.6875,0.4375,0.375,0.4375,0.0,0.4375,0.375,0.375,0.375,0.375,0.6875,0.0,0.0,0.375
8,0.375,0.25,0.625,0.4375,0.6875,0.375,0.25,0.6875,0.375,0.6875,0.6875,0.4375,0.6875,0.625,0.4375,0.625,0.6875,0.0,0.4375,0.0,0.4375,0.4375,0.625,0.4375,0.6875,0.6875,0.4375,0.4375,0.0,0.6875,0.375,0.0,0.4375,0.0,0.4375,0.0,0.0,0.625,0.4375,0.4375,0.0,0.0,0.4375,0.625,0.0,0.375,0.0,0.375,0.0,0.375,0.6875,0.375,0.6875,0.375,0.6875,0.375,0.0,0.4375,0.0,0.4375,0.0,0.4375,0.3125,0.375
9,0.625,0.375,0.6875,0.4375,0.625,0.6875,0.625,0.4375,0.4375,0.6875,0.625,0.625,0.625,0.4375,0.4375,0.6875,0.375,0.6875,0.375,0.0,0.625,0.4375,0.625,0.375,0.0,0.625,0.625,0.0,0.6875,0.4375,0.4375,0.75,0.625,0.4375,0.625,0.625,0.6875,0.6875,0.625,0.6875,0.375,0.4375,0.375,0.625,0.375,0.4375,0.625,0.4375,0.0,0.4375,0.0,0.4375,0.0,0.4375,0.0,0.625,0.625,0.5625,0.625,0.625,0.6875,0.625,0.625,0.6875
10,0.625,0.625,0.6875,0.0,0.5625,0.625,0.0,0.625,0.375,0.0,0.0,0.625,0.6875,0.375,0.75,0.0,0.0,0.4375,0.0,0.625,0.4375,0.6875,0.0,0.625,0.5625,0.625,0.625,0.375,0.6875,0.6875,0.4375,0.375,0.6875,0.625,0.6875,0.625,0.6875,0.375,0.0,0.0,0.4375,0.6875,0.625,0.625,0.5625,0.6875,0.625,0.6875,0.625,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.6875,0.0,0.0,0.0,0.625,0.0,0.4375
11,0.0,0.5625,0.0,0.375,0.6875,0.0,0.625,0.625,0.625,0.6875,0.625,0.0,0.625,0.0,0.6875,0.375,0.6875,0.6875,0.6875,0.625,0.375,0.625,0.625,0.625,0.6875,0.6875,0.375,0.0,0.625,0.625,0.625,0.5625,0.625,0.0,0.6875,0.625,0.0,0.625,0.625,0.625,0.6875,0.625,0.0,0.625,0.625,0.625,0.625,0.0,0.625,0.0,0.625,0.625,0.625,0.0,0.0,0.625,0.6875,0.6875,0.0,0.625,0.625,0.625,0.0,0.6875
12,0.6875,0.5625,0.625,0.625,0.6875,0.625,0.5625,0.625,0.625,0.4375,0.5625,0.4375,0.625,0.625,0.0,0.625,0.4375,0.625,0.625,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.6875,0.625,0.0,0.6875,0.6875,0.625,0.0,0.6875,0.0,0.4375,0.0,0.625,0.0,0.0,0.6875,0.625,0.0,0.625,0.625,0.625,0.625,0.625,0.6875,0.625,0.0,0.5625,0.625,0.625,0.6875,0.6875,0.0,0.0,0.5625,0.0,0.625
13,0.625,0.6875,0.75,0.625,0.625,0.6875,0.5625,0.6875,0.625,0.625,0.625,0.0,0.6875,0.625,0.0,0.0,0.0,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.375,0.625,0.625,0.625,0.4375,0.4375,0.625,0.4375,0.0,0.625,0.6875,0.0,0.6875,0.75,0.625,0.625,0.0,0.6875,0.6875,0.625,0.625,0.0,0.625,0.5625,0.625,0.0,0.75,0.625,0.625,0.6875,0.625,0.0,0.625,0.625,0.375
14,0.75,0.625,0.0,0.5625,0.5625,0.6875,0.625,0.5625,0.625,0.625,0.0,0.625,0.0,0.0,0.625,0.625,0.0,0.625,0.6875,0.6875,0.625,0.6875,0.625,0.4375,0.6875,0.625,0.75,0.0,0.625,0.6875,0.625,0.6875,0.4375,0.625,0.75,0.0,0.0,0.0,0.4375,0.625,0.75,0.0,0.0,0.0,0.625,0.625,0.0,0.625,0.6875,0.0,0.6875,0.625,0.6875,0.375,0.625,0.5625,0.625,0.375,0.6875,0.625,0.625,0.4375,0.0,0.75
